Name, Pressure, Lat, Long, Date
"Sandfields East","47.24","51.59112","-3.80509","2017-08-24"
"Colnbrook with Poyle","47.61","51.4823","-0.51996","2020-11-13"
"Castle Douglas and Crocketford","49.55","54.99408","-3.86875","2020-06-07"
"Cowden and Hever","49.8","51.16423","0.094375","2020-01-07"
"Dearne North","47.6","53.54385","-1.30624","2020-03-18"
"Tilbury Riverside and Thurrock Park","48.07","51.4635","0.346641","2018-11-26"
"Tarporley","46.34","53.17551","-2.62994","2018-04-15"
"Mountain Ash West","45.58","51.67831","-3.39042","2020-09-05"
"Brockham, Betchworth and Buckland","48.98","51.23234","-0.27457","2018-09-06"
"Llysfaen","46.46","53.2811","-3.66366","2017-07-27"
"Greystone","46.48","55.04114","-6.93171","2019-09-12"
"Heath Hayes East and Wimblebury","46.69","52.69086","-1.98361","2020-10-01"
"Crowborough St. Johns","69.16","51.04823","0.140089","2018-05-25"
"Aldermaston","48.69","51.38611","-1.17048","2018-03-17"
"Droitwich South West","48.66","52.25988","-2.15876","2016-10-19"
"Boho, Cleenish and Letterbreen","48.19","54.32768","-7.77627","2016-12-19"
"Llanuwchllyn","45.61","52.85242","-3.63593","2016-01-05"
"Middlecroft and Poolsbrook","48.94","53.26007","-1.35552","2018-06-03"
"Brynwern","45.79","51.70069","-3.04389","2018-04-23"
"Lindfield","45.3","51.00895","-0.07702","2018-02-13"
"Westbourne","45.43","50.83058","-0.18437","2020-05-18"
"Attleborough Queens & Besthorpe","47.34","52.51781","1.061528","2019-04-12"
"Newport","45.29","51.97758","0.221111","2018-02-23"
"Haughley and Wetherden","48.22","52.22864","0.952676","2016-06-11"
"Oxenton Hill","49.51","51.96633","-2.09116","2016-11-02"
"Greater Pollok","46.55","55.81528","-4.35231","2018-03-23"
"Luton and Wayfield","48.83","51.36945","0.538209","2017-07-06"
"Ewell Court","46.83","51.36549","-0.26261","2018-03-04"
"Calver","48.04","53.27695","-1.66148","2018-12-22"
"Fynn Valley","46.18","52.10254","1.203756","2018-01-29"
"Claygate","47.38","51.36031","-0.33735","2016-12-26"
"Kilfennan","47.07","54.99133","-7.28232","2019-06-03"
"Basildon","46.08","51.50729","-1.16442","2016-10-13"
"Tonypandy","66.72","51.62128","-3.46155","2018-08-24"
"Glusburn","49.55","53.89967","-2.00798","2016-09-03"
"Kingswinford South","49.85","52.49221","-2.16232","2018-10-24"
"Skipton West","49.45","53.95029","-2.02937","2019-05-12"
"Ludlow South","49.47","52.33744","-2.71831","2017-01-04"
"College","46.35","51.89292","-2.07488","2017-02-08"
"Court","47.78","51.41376","-3.26154","2017-02-02"
"Oakley","49.33","51.79467","-1.075","2019-09-24"
"Liskeard North","47.16","50.46588","-4.46892","2017-12-21"
"Betws yn Rhos","45.56","53.22792","-3.65528","2020-07-12"
"Ammerdown","47.53","51.26493","-2.40077","2017-09-17"
"Southdown","47.61","51.37034","-2.39823","2016-02-10"
"St. Mary's","46.37","51.63974","-2.67443","2018-05-22"
"Shalford","46.49","51.2141","-0.58962","2016-08-11"
"Brunswick Park","45.31","51.6276","-0.14588","2019-03-08"
"Lowes Hill","45.06","52.34122","-2.05481","2017-09-16"
"Oadby Grange","46.13","52.60847","-1.07979","2020-01-03"
